data,total,positivos,prevalencia
2016-04-18,204,21,0.10294117647058823
2016-04-19,170,22,0.12941176470588237
2016-04-20,188,29,0.15425531914893617
2016-04-21,131,11,0.08396946564885496
2016-04-22,137,24,0.17518248175182483
2016-04-23,102,5,0.049019607843137254
2016-04-24,153,6,0.0392156862745098
2016-04-25,172,31,0.18023255813953487
2016-04-26,168,19,0.1130952380952381
2016-04-27,192,30,0.15625
2016-04-28,239,46,0.19246861924686193
2016-04-29,179,28,0.1564245810055866
2016-04-30,142,14,0.09859154929577464
2016-05-01,195,29,0.14871794871794872
2016-05-02,150,18,0.12
2016-05-03,126,14,0.1111111111111111
2016-05-04,175,15,0.08571428571428572
2016-05-05,188,18,0.09574468085106383
2016-05-06,145,14,0.09655172413793103
2016-05-07,167,29,0.17365269461077845
2016-05-08,183,19,0.10382513661202186
2016-05-09,161,31,0.19254658385093168
2016-05-10,167,35,0.20958083832335328
2016-05-11,112,9,0.08035714285714286
2016-05-12,145,33,0.22758620689655173
2016-05-13,188,21,0.11170212765957446
2016-05-14,117,12,0.10256410256410256
2016-05-15,155,10,0.06451612903225806
2016-05-16,182,30,0.16483516483516483
2016-05-17,191,30,0.15706806282722513
2016-05-18,177,30,0.1694915254237288
2016-05-19,197,27,0.13705583756345177
2016-05-20,155,21,0.13548387096774195
2016-05-21,106,13,0.12264150943396226
2016-05-22,212,16,0.07547169811320754
2016-05-23,170,20,0.11764705882352941
2016-05-24,169,24,0.14201183431952663
2016-05-25,172,37,0.21511627906976744
2016-05-26,126,5,0.03968253968253968
2016-05-27,132,22,0.16666666666666666
2016-05-28,109,9,0.08256880733944955
2016-05-29,166,9,0.05421686746987952
2016-05-30,168,29,0.17261904761904762
2016-05-31,169,22,0.1301775147928994
2016-06-01,187,35,0.18716577540106952
2016-06-02,106,9,0.08490566037735849
2016-06-03,159,10,0.06289308176100629
2016-06-04,194,21,0.10824742268041238
2016-06-05,163,28,0.17177914110429449
2016-06-06,181,26,0.143646408839779
2016-06-07,183,27,0.14754098360655737
2016-06-08,165,5,0.030303030303030304
2016-06-09,180,29,0.16111111111111112
2016-06-10,161,31,0.19254658385093168
2016-06-11,152,7,0.046052631578947366
2016-06-12,162,34,0.20987654320987653
2016-06-13,164,24,0.14634146341463414
2016-06-14,187,18,0.0962566844919786
2016-06-15,196,23,0.11734693877551021
2016-06-16,206,22,0.10679611650485436
2016-06-17,202,33,0.16336633663366337
2016-06-18,111,12,0.10810810810810811
2016-06-19,150,9,0.06
2016-06-20,171,29,0.1695906432748538
2016-06-21,187,32,0.1711229946524064
2016-06-22,184,30,0.16304347826086957
2016-06-23,219,27,0.1232876712328767
2016-06-24,179,30,0.16759776536312848
2016-06-25,135,17,0.1259259259259259
2016-06-26,188,19,0.10106382978723404
2016-06-27,172,30,0.1744186046511628
2016-06-28,166,30,0.18072289156626506
2016-06-29,179,32,0.1787709497206704
2016-06-30,229,46,0.20087336244541484
2016-07-01,194,30,0.15463917525773196
2016-07-02,112,10,0.08928571428571429
2016-07-03,175,27,0.15428571428571428
2016-07-04,201,20,0.09950248756218906
2016-07-05,104,10,0.09615384615384616
2016-07-06,169,32,0.1893491124260355
2016-07-07,203,29,0.14285714285714285
2016-07-08,233,9,0.03862660944206009
2016-07-09,136,12,0.08823529411764706
2016-07-10,130,22,0.16923076923076924
2016-07-11,148,30,0.20270270270270271
2016-07-12,158,28,0.17721518987341772
